longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
30.358564,23.98951,2024,3,NewValley,0.17255,21.832941,-1.1779997,21.44076,0.0022347912,1.0867091E10,60,541,200,260,42,82,133,161,0.0022644
30.619076,24.726128,2024,3,NewValley,0.19555,21.77119,-0.61848974,22.420406,0.0012273536,1.0875545E10,40,487,286,227,66,82,132,186,0.008695488
30.655008,24.564432,2024,3,NewValley,0.14375,21.585909,-0.7987023,22.379705,0.0013196737,1.0885589E10,60,532,213,256,48,82,130,167,1.00666664E-4
30.331615,23.96256,2024,3,NewValley,0.11975,21.894535,-1.1325055,21.43153,0.002003216,1.0858038E10,60,532,209,260,45,82,133,161,0.07163385
30.60111,24.753078,2024,3,NewValley,0.33145,21.517742,-0.5876939,22.822098,0.0013058827,1.0890518E10,40,510,261,229,69,82,133,185,8.420472E-4
30.68196,24.600365,2024,3,NewValley,0.10675,21.585909,-0.7987023,22.379705,0.0013196737,1.0885589E10,60,505,253,243,34,81,133,166,0.006910367
30.62806,24.510532,2024,3,NewValley,0.0965,21.884338,-0.6612091,22.196617,0.0012589962,1.0858971E10,60,575,168,258,46,81,133,163,1.0674215E-5
