longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
30.358564,23.98951,2024,1,NewValley,0.16615,14.69725,1.7520164,41.49522,2.3386611E-4,7.978111E9,60,541,200,260,42,82,133,161,0.0022644
30.619076,24.726128,2024,1,NewValley,0.2046,14.685629,2.1488054,42.719963,2.657844E-4,7.8091776E9,40,487,286,227,66,82,132,186,0.008695488
30.655008,24.564432,2024,1,NewValley,0.1916,14.409755,2.0671415,43.23573,2.413167E-4,7.8538573E9,60,532,213,256,48,82,130,167,1.00666664E-4
30.331615,23.96256,2024,1,NewValley,0.1238,14.843985,1.7478266,41.09201,2.3386611E-4,7.967728E9,60,532,209,260,45,82,133,161,0.07163385
30.60111,24.753078,2024,1,NewValley,0.4547,14.466472,2.1107745,43.211727,2.8542412E-4,7.789633E9,40,510,261,229,69,82,133,185,8.420472E-4
30.68196,24.600365,2024,1,NewValley,0.09755,14.409755,2.0671415,43.23573,2.413167E-4,7.8538573E9,60,505,253,243,34,81,133,166,0.006910367
30.62806,24.510532,2024,1,NewValley,0.1169,14.701962,2.192425,42.80786,2.3386611E-4,7.859227E9,60,575,168,258,46,81,133,163,1.0674215E-5
