longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
30.88857,28.714647,2023,9,Fayoum,0.53855,29.94146,12.357448,33.911644,0.0026373363,1.0192573E10,40,508,228,264,687,79,124,201,0.022392677
30.789757,28.831429,2023,9,Fayoum,0.34245,30.178268,12.844633,34.539486,0.003910212,1.0166277E10,40,562,177,262,291,80,131,180,3.9527404
30.852638,29.038042,2023,9,Fayoum,0.18445,30.071032,13.249947,35.68615,0.008974647,1.0058832E10,40,533,233,234,114,80,134,153,14.714616
30.897554,28.840412,2023,9,Fayoum,0.4335,30.163157,12.673829,34.184772,0.003398264,1.0145354E10,40,526,196,280,288,76,129,211,62.989548
30.852638,28.80448,2023,9,Fayoum,0.4101,30.163157,12.673829,34.184772,0.003398264,1.0145354E10,40,508,226,266,320,76,129,203,17.422743
30.951452,29.109907,2023,9,Fayoum,0.43345,30.073256,13.322768,35.85154,0.009781009,1.0049102E10,40,508,242,251,314,77,129,190,0.31029052
31.005352,29.208721,2023,9,Fayoum,0.17735,29.900843,13.457585,36.528564,0.009743014,1.0021871E10,60,496,248,257,96,81,131,147,0.39798707
30.96942,29.100924,2023,9,Fayoum,0.32265,30.073256,13.322768,35.85154,0.009781009,1.0049102E10,40,513,233,255,322,77,129,188,2.0344336
30.879587,28.94821,2023,9,Fayoum,0.45235,30.25533,13.018282,34.779907,0.0060088206,1.0091709E10,40,540,184,278,316,75,129,205,1.1566609E-4
30.852638,29.020075,2023,9,Fayoum,0.28955,30.071032,13.249947,35.68615,0.008974647,1.0058832E10,40,514,227,260,119,80,133,165,0.6701612
30.987385,29.11889,2023,9,Fayoum,0.4222,30.073256,13.322768,35.85154,0.009781009,1.0049102E10,40,529,209,263,333,76,129,193,5.1308203
30.726873,28.732615,2023,9,Fayoum,0.3309,30.017984,12.682746,34.491386,0.0035424253,1.0221402E10,40,555,175,271,245,80,132,200,14.640347
