longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
32.209095,30.178902,2025,3,NorthSinai,0.077,17.752705,6.301585,47.002655,0.021524185,9.470532E9,60,366,261,373,47,80,138,161,0.5158834
33.6464,30.331615,2025,3,NorthSinai,0.09745,15.904523,5.195841,48.95791,0.051688287,9.528666E9,60,332,346,324,42,80,141,135,8.2323264E-4
33.56555,31.0323,2025,3,NorthSinai,0.0959,16.987724,9.635066,61.892075,0.082061015,9.211813E9,60,333,353,315,71,79,146,152,0.6881918
32.62232,30.160936,2025,3,NorthSinai,0.2744,17.891777,7.067423,49.11115,0.01727208,9.491169E9,40,396,329,276,52,80,137,141,0.7629515
32.34384,29.846525,2025,3,NorthSinai,0.0967,18.268204,5.671561,43.56352,0.026448669,9.669289E9,60,413,306,281,58,80,137,146,1.9526316E-5
34.122505,30.017204,2025,3,NorthSinai,0.10725,16.304817,4.4488287,45.298855,0.078402475,9.719988E9,60,352,353,296,41,81,137,138,0.03519153
33.22419,31.041285,2025,3,NorthSinai,0.10925,17.416218,9.970069,61.604244,0.045354,9.256434E9,60,373,323,305,67,81,147,144,0.77537465
32.415707,31.068233,2025,3,NorthSinai,0.11,18.302248,10.170723,59.04786,0.04227185,9.081913E9,60,341,348,312,202,80,143,195,7.9E-5
32.101295,30.96942,2025,3,NorthSinai,0.4088,18.226032,9.467601,56.598907,0.030110609,9.003841E9,80,305,291,404,182,79,131,222,0.2478247
32.67622,30.035172,2025,3,NorthSinai,0.1042,17.922184,6.455819,47.000355,0.02704893,9.705698E9,60,399,302,299,57,80,141,156,3.13E-4
33.053513,30.187885,2025,3,NorthSinai,0.10585,15.475334,4.295403,47.256092,0.026305288,9.669654E9,60,277,356,368,39,80,140,133,0.036842473
33.951828,31.104166,2025,3,NorthSinai,0.13195,16.986412,9.2754755,60.418503,0.12879592,9.132718E9,60,381,358,261,61,79,145,191,0.8326318
32.59537,30.071104,2025,3,NorthSinai,0.0988,18.514967,7.492283,48.618412,0.021188427,9.534132E9,60,417,292,292,75,80,135,146,1.4362831
32.34384,29.738728,2025,3,NorthSinai,0.08105,19.446476,6.3723626,42.47841,0.01794768,9.696164E9,60,450,295,256,68,80,136,161,0.171684
34.149456,29.505165,2025,3,NorthSinai,0.1131,15.479159,2.1476586,40.59001,0.08690433,1.0191807E10,60,290,343,368,37,81,140,149,0.016749553
32.433674,29.927374,2025,3,NorthSinai,0.0857,17.431175,5.941205,46.787373,0.036038972,9.561146E9,60,420,264,317,74,80,137,144,2.8295398
32.50554,30.008223,2025,3,NorthSinai,0.10495,18.551243,7.539788,48.665627,0.025455607,9.478605E9,60,431,285,285,134,80,138,143,1.6224365
34.356068,30.82569,2025,3,NorthSinai,0.0955,16.378483,6.5617948,52.20696,0.17384028,9.101242E9,60,324,363,313,49,79,143,145,0.47989273
33.7003,30.646027,2025,3,NorthSinai,0.1033,17.175167,7.7215443,53.734093,0.068658695,9.362521E9,60,352,354,294,50,80,144,142,4.2354
32.54147,30.358564,2025,3,NorthSinai,0.1128,17.701004,7.3019032,50.50955,0.03383936,9.367713E9,60,379,340,282,51,80,143,150,1.0055484E-4
34.19437,31.265863,2025,3,NorthSinai,0.46395,17.77504,9.417025,58.030285,0.27123368,8.773468E9,40,463,315,223,132,80,148,230,3.3281703
32.721134,30.044155,2025,3,NorthSinai,0.1005,17.922184,6.455819,47.000355,0.02704893,9.705698E9,60,388,313,300,65,80,138,181,0.0142185
32.415707,30.68196,2025,3,NorthSinai,0.18275,17.691038,7.8859634,52.596493,0.028655076,9.291735E9,60,350,339,313,61,80,141,146,0.015927572
32.370792,29.756693,2025,3,NorthSinai,0.0817,18.450838,6.570148,45.824055,0.025342084,9.584547E9,60,426,306,269,58,81,137,145,3.0E-6
34.01471,31.176031,2025,3,NorthSinai,0.16785,17.308985,9.957741,61.97216,0.17854187,9.011882E9,60,362,356,283,94,79,146,188,0.27702954
34.19437,29.990255,2025,3,NorthSinai,0.1313,16.147867,4.204869,44.97927,0.0987894,9.731242E9,60,285,382,335,37,80,138,114,1.0E-6
33.25114,31.050268,2025,3,NorthSinai,0.1111,17.712849,10.870386,64.20528,0.075931415,9.139091E9,60,358,339,303,81,81,145,149,1.0349004
34.167423,29.981272,2025,3,NorthSinai,0.1389,16.147867,4.204869,44.97927,0.0987894,9.731242E9,60,303,392,306,44,80,136,115,0.0046841134
32.59537,30.394497,2025,3,NorthSinai,0.1099,17.20821,6.6780057,49.92472,0.03563609,9.480163E9,60,385,313,303,45,80,142,167,3.78E-4
32.262993,30.726873,2025,3,NorthSinai,0.41885,18.155352,8.146459,51.994347,0.02770394,9.22222E9,60,370,319,311,251,77,128,190,9.211273
34.311153,30.924503,2025,3,NorthSinai,0.10935,16.646568,7.220347,53.696568,0.14377756,9.096343E9,60,349,351,301,45,79,144,151,1.59921
33.098427,29.666862,2025,3,NorthSinai,0.11095,16.055273,3.373762,42.676,0.02128317,1.0045449E10,60,239,331,431,66,79,138,145,1.33E-4
32.227062,30.951452,2025,3,NorthSinai,0.37385,18.286545,9.413118,56.17802,0.026592767,9.041968E9,40,338,275,388,188,79,123,214,0.010595964
32.379776,30.151953,2025,3,NorthSinai,0.0872,18.4184,7.4823127,48.88036,0.01811751,9.402613E9,60,412,271,318,60,80,140,134,5.8396086E-5
34.40098,30.646027,2025,3,NorthSinai,0.1153,16.16284,5.9190145,50.63398,0.19164263,9.245706E9,60,342,385,274,56,80,144,133,0.008601599
34.212337,29.586014,2025,3,NorthSinai,0.1105,16.14952,2.9774086,41.247612,0.08787741,1.0099256E10,60,313,362,325,37,80,138,142,0.004562
32.30791,29.891441,2025,3,NorthSinai,0.0841,17.197662,5.3250175,45.497982,0.04442926,9.610044E9,60,406,292,303,61,80,135,145,0.6232373
32.54147,30.996368,2025,3,NorthSinai,0.11315,18.112303,9.214443,56.0418,0.02939485,9.15924E9,60,345,375,281,122,80,145,134,0.27693108
33.5386,30.619076,2025,3,NorthSinai,0.09405,16.457373,6.753797,52.635597,0.053784866,9.394169E9,60,317,364,320,41,79,145,134,0.002445
32.442657,31.059252,2025,3,NorthSinai,0.23095,18.302248,10.170723,59.04786,0.04227185,9.081913E9,60,315,342,343,183,79,141,192,0.092383325
34.086575,30.77179,2025,3,NorthSinai,0.09975,16.540213,7.5201015,55.18033,0.10703721,9.235728E9,60,324,372,305,37,80,146,138,0.11437773
32.36181,29.792627,2025,3,NorthSinai,0.0861,18.450838,6.570148,45.824055,0.025342084,9.584547E9,60,430,259,312,52,80,136,149,0.0014597418
33.17029,30.448397,2025,3,NorthSinai,0.10345,16.715317,5.943326,48.96586,0.03630361,9.554255E9,60,320,349,332,44,80,140,138,0.44796205
32.20011,31.104166,2025,3,NorthSinai,0.2746,18.16591,10.186445,59.6183,0.043371372,9.00464E9,80,347,328,326,324,80,124,201,1.2032492
32.406723,30.74484,2025,3,NorthSinai,0.1378,17.691038,7.8859634,52.596493,0.028655076,9.291735E9,60,352,325,324,66,80,139,145,0.041445114
33.28707,30.2867,2025,3,NorthSinai,0.1084,16.399544,5.4026175,48.122112,0.03657353,9.585148E9,60,344,334,323,49,81,139,136,0.017278
32.379776,31.059252,2025,3,NorthSinai,0.2773,18.302248,10.170723,59.04786,0.04227185,9.081913E9,60,300,328,373,185,79,142,188,0.11407164
34.07759,31.095184,2025,3,NorthSinai,0.1774,17.001814,8.802055,58.462143,0.14646734,9.086595E9,60,334,367,300,65,79,145,179,9.18E-4
32.191128,31.050268,2025,3,NorthSinai,0.20095,18.16591,10.186445,59.6183,0.043371372,9.00464E9,80,358,337,305,282,80,122,206,0.050522227
34.347084,29.94534,2025,3,NorthSinai,0.11995,16.191679,3.71438,43.334232,0.119393274,9.836569E9,60,317,332,352,39,80,137,119,7.0E-6
32.155197,30.178902,2025,3,NorthSinai,0.0966,17.752705,6.301585,47.002655,0.021524185,9.470532E9,60,362,266,373,45,80,141,152,3.2661555E-5
32.54147,30.906538,2025,3,NorthSinai,0.14855,17.736479,8.644923,55.21875,0.02897458,9.237072E9,60,365,326,310,67,80,143,129,0.052157164
32.182144,30.735857,2025,3,NorthSinai,0.57895,18.157303,8.155469,52.019806,0.030017287,9.175413E9,40,319,318,363,181,79,136,173,5.5076513
33.76318,29.981272,2025,3,NorthSinai,0.10505,16.54078,4.9140844,46.097305,0.052914996,9.763804E9,60,333,345,322,44,81,135,137,1.1458026
32.28096,30.14297,2025,3,NorthSinai,0.09145,17.565765,6.260546,47.425823,0.024925489,9.487555E9,60,363,280,357,48,80,140,148,2.4489556E-5
32.604355,30.178902,2025,3,NorthSinai,0.24575,17.891777,7.067423,49.11115,0.01727208,9.491169E9,60,395,315,290,64,80,136,138,0.0011948
32.236046,30.169918,2025,3,NorthSinai,0.09095,17.752705,6.301585,47.002655,0.021524185,9.470532E9,60,350,263,387,44,80,138,152,8.177902E-6
32.415707,29.999239,2025,3,NorthSinai,0.07325,17.638044,6.474639,47.911686,0.029171381,9.498311E9,60,407,282,312,60,80,137,145,0.38568816
32.11028,30.592127,2025,3,NorthSinai,0.6321,18.524399,7.9409766,50.09904,0.037520334,9.167072E9,40,394,302,305,312,74,138,194,1.6124396
32.559437,30.044155,2025,3,NorthSinai,0.2938,18.662645,7.4493957,48.02983,0.026068965,9.581079E9,60,385,308,307,174,79,134,175,7.955157
32.415707,30.69094,2025,3,NorthSinai,0.12325,17.691038,7.8859634,52.596493,0.028655076,9.291735E9,60,339,330,332,63,80,139,147,0.059582397
32.011467,30.493313,2025,3,NorthSinai,0.24115,18.365376,7.518865,49.165802,0.043677486,9.155806E9,60,392,308,301,110,80,139,169,8.3333333E-7
34.22132,30.816706,2025,3,NorthSinai,0.09255,16.50565,7.174404,54.009926,0.1206327,9.195988E9,60,336,376,289,49,79,144,152,0.001258
33.116394,29.801609,2025,3,NorthSinai,0.0793,16.016462,3.7441468,43.913624,0.024590101,9.980133E9,60,338,349,314,39,79,140,136,0.02850895
32.245026,30.807722,2025,3,NorthSinai,0.27035,18.150724,8.534989,53.398552,0.027060164,9.140918E9,60,370,326,304,191,80,138,143,5.268187
34.47285,30.2867,2025,3,NorthSinai,0.0966,16.454655,4.7569394,45.845295,0.19023897,9.444405E9,60,308,363,330,44,80,146,139,6.6935364E-4
34.25725,30.987385,2025,3,NorthSinai,0.0959,16.88182,7.591538,54.259357,0.15145372,9.058208E9,60,340,320,340,49,79,142,165,0.6795509
