longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
32.209095,30.178902,2024,5,NorthSinai,0.07895,24.632814,8.947457,36.897305,5.722149E-4,1.2804066E10,60,366,261,373,47,80,138,161,0.5107449
33.6464,30.331615,2024,5,NorthSinai,0.09335,22.179136,8.350281,41.096558,0.0023743762,1.3003044E10,60,332,346,324,42,80,141,135,7.846121E-4
33.56555,31.0323,2024,5,NorthSinai,0.09855,22.560564,13.568047,56.796093,0.015722666,1.2595932E10,60,333,353,315,71,79,146,152,0.68366706
32.62232,30.160936,2024,5,NorthSinai,0.2279,24.606674,10.111204,39.96131,5.277498E-4,1.2807791E10,40,396,329,276,52,80,137,141,0.73445743
32.34384,29.846525,2024,5,NorthSinai,0.10625,25.36507,8.374927,33.97733,0.001155491,1.2921967E10,60,413,306,281,58,80,137,146,1.868421E-5
34.122505,30.017204,2024,5,NorthSinai,0.098,22.618467,7.574502,37.954998,0.0020503318,1.3255045E10,60,352,353,296,41,81,137,138,0.034719784
33.22419,31.041285,2024,5,NorthSinai,0.1079,23.011862,13.657772,55.58554,0.014053942,1.2553737E10,60,373,323,305,67,81,147,144,1.1638707
32.415707,31.068233,2024,5,NorthSinai,0.0852,23.72055,13.913293,54.147717,0.006101628,1.2336838E10,60,341,348,312,202,80,143,195,7.3E-5
32.101295,30.96942,2024,5,NorthSinai,0.2176,24.107828,13.064384,50.0543,8.3349185E-4,1.227388E10,80,305,291,404,182,79,131,222,0.24623014
32.67622,30.035172,2024,5,NorthSinai,0.10615,24.927963,9.260787,37.026073,0.0011630682,1.2967131E10,60,399,302,299,57,80,141,156,3.03E-4
33.053513,30.187885,2024,5,NorthSinai,0.10435,22.002308,7.269166,38.592476,7.9276325E-4,1.3002969E10,60,277,356,368,39,80,140,133,0.036669023
33.951828,31.104166,2024,5,NorthSinai,0.09775,22.414516,13.630523,57.536312,0.04596836,1.2546886E10,60,381,358,261,61,79,145,191,0.8221664
32.59537,30.071104,2024,5,NorthSinai,0.09585,25.281448,10.42504,39.196636,0.0011687195,1.2827874E10,60,417,292,292,75,80,135,146,1.402356
32.34384,29.738728,2024,5,NorthSinai,0.087,26.321295,9.137162,33.802006,9.234241E-4,1.293224E10,60,450,295,256,68,80,136,161,0.1689685
34.149456,29.505165,2024,5,NorthSinai,0.1042,22.099785,4.962263,32.71404,0.006188887,1.346892E10,60,290,343,368,37,81,140,149,0.016631095
32.433674,29.927374,2024,5,NorthSinai,0.0887,24.721016,8.784776,36.30195,0.0017122431,1.2823404E10,60,420,264,317,74,80,137,144,2.9759467
32.50554,30.008223,2024,5,NorthSinai,0.108,25.633608,10.525934,38.64335,0.0020153476,1.2759329E10,60,431,285,285,134,80,138,143,1.5843587
34.356068,30.82569,2024,5,NorthSinai,0.0923,21.942726,10.0277,46.683086,0.019974358,1.2752894E10,60,324,363,313,49,79,143,145,0.47951558
33.7003,30.646027,2024,5,NorthSinai,0.10045,23.056583,10.969005,46.4523,0.0044915536,1.2865076E10,60,352,354,294,50,80,144,142,4.1637173
32.54147,30.358564,2024,5,NorthSinai,0.10785,24.378132,10.557777,41.738533,0.0022252826,1.271571E10,60,379,340,282,51,80,143,150,9.875545E-5
34.19437,31.265863,2024,5,NorthSinai,0.2286,23.037312,14.008978,56.780964,0.10005682,1.2119779E10,40,463,315,223,132,80,148,230,3.2831376
32.721134,30.044155,2024,5,NorthSinai,0.10045,24.927963,9.260787,37.026073,0.0011630682,1.2967131E10,60,388,313,300,65,80,138,181,0.014148
32.415707,30.68196,2024,5,NorthSinai,0.14255,24.008064,11.405987,45.150387,0.001341532,1.261903E10,60,350,339,313,61,80,141,146,0.01568156
32.370792,29.756693,2024,5,NorthSinai,0.07345,25.519777,9.450077,36.20143,0.0015969062,1.2830968E10,60,426,306,269,58,81,137,145,3.0E-6
34.01471,31.176031,2024,5,NorthSinai,0.11085,22.579044,14.382615,59.812366,0.060583815,1.2397005E10,60,362,356,283,94,79,146,188,0.27693284
34.19437,29.990255,2024,5,NorthSinai,0.1094,22.408875,7.2685437,37.646378,0.0017104922,1.3286702E10,60,285,382,335,37,80,138,114,1.0E-6
33.25114,31.050268,2024,5,NorthSinai,0.1121,23.086273,14.673904,59.102283,0.025445562,1.2450558E10,60,358,339,303,81,81,145,149,0.98027843
34.167423,29.981272,2024,5,NorthSinai,0.1161,22.408875,7.2685437,37.646378,0.0017104922,1.3286702E10,60,303,392,306,44,80,136,115,0.004672434
32.59537,30.394497,2024,5,NorthSinai,0.10755,23.84113,9.9898405,41.502098,0.0014585955,1.281484E10,60,385,313,303,45,80,142,167,3.71E-4
32.262993,30.726873,2024,5,NorthSinai,0.27035,24.468292,11.556614,44.360214,0.0016944474,1.2557997E10,60,370,319,311,251,77,128,190,9.064142
34.311153,30.924503,2024,5,NorthSinai,0.105,22.219427,11.217773,49.68951,0.036111183,1.2667045E10,60,349,351,301,45,79,144,151,1.582114
33.098427,29.666862,2024,5,NorthSinai,0.10695,23.147272,5.6734734,32.25244,7.5877743E-4,1.3232888E10,60,239,331,431,66,79,138,145,1.31E-4
32.227062,30.951452,2024,5,NorthSinai,0.1635,24.098454,13.053585,50.047157,9.173444E-4,1.2315613E10,40,338,275,388,188,79,123,214,0.010122241
32.379776,30.151953,2024,5,NorthSinai,0.08305,25.219582,10.3901415,39.24984,5.82791E-4,1.2733372E10,60,412,271,318,60,80,140,134,5.6579684E-5
34.40098,30.646027,2024,5,NorthSinai,0.11525,21.928438,8.980235,43.547245,0.014704187,1.2974432E10,60,342,385,274,56,80,144,133,0.0081976
34.212337,29.586014,2024,5,NorthSinai,0.1127,22.612516,5.6913795,33.35675,0.003307256,1.3435386E10,60,313,362,325,37,80,138,142,0.004435
32.30791,29.891441,2024,5,NorthSinai,0.0932,24.500473,7.9425898,34.741985,0.0011001481,1.2874118E10,60,406,292,303,61,80,135,145,0.6223853
32.54147,30.996368,2024,5,NorthSinai,0.1166,23.893763,12.860659,50.03151,0.0021847514,1.2423517E10,60,345,375,281,122,80,145,134,0.2589165
33.5386,30.619076,2024,5,NorthSinai,0.09005,22.342552,10.146345,45.92187,0.004889517,1.283523E10,60,317,364,320,41,79,145,134,0.002341
32.442657,31.059252,2024,5,NorthSinai,0.15785,23.72055,13.913293,54.147717,0.006101628,1.2336838E10,60,315,342,343,183,79,141,192,0.090708084
34.086575,30.77179,2024,5,NorthSinai,0.09985,22.311197,11.252274,49.525665,0.01579036,1.2795672E10,60,324,372,305,37,80,146,138,0.11416186
32.36181,29.792627,2024,5,NorthSinai,0.09315,25.519777,9.450077,36.20143,0.0015969062,1.2830968E10,60,430,259,312,52,80,136,149,0.0014532421
33.17029,30.448397,2024,5,NorthSinai,0.10115,22.856825,9.090668,41.462788,0.0041225264,1.2924547E10,60,320,349,332,44,80,140,138,0.41950694
32.20011,31.104166,2024,5,NorthSinai,0.189,23.682896,13.941829,54.371376,0.0054711727,1.226129E10,80,347,328,326,324,80,124,201,1.1810112
32.406723,30.74484,2024,5,NorthSinai,0.1321,24.008064,11.405987,45.150387,0.001341532,1.261903E10,60,352,325,324,66,80,139,145,0.04123932
33.28707,30.2867,2024,5,NorthSinai,0.1035,22.592651,8.421806,40.270027,0.002357711,1.2972349E10,60,344,334,323,49,81,139,136,0.016933
32.379776,31.059252,2024,5,NorthSinai,0.20295,23.72055,13.913293,54.147717,0.006101628,1.2336838E10,60,300,328,373,185,79,142,188,0.11285005
34.07759,31.095184,2024,5,NorthSinai,0.10465,22.461798,13.241531,55.93481,0.04928348,1.2518707E10,60,334,367,300,65,79,145,179,8.51E-4
32.191128,31.050268,2024,5,NorthSinai,0.19305,23.682896,13.941829,54.371376,0.0054711727,1.226129E10,80,358,337,305,282,80,122,206,0.04781578
34.347084,29.94534,2024,5,NorthSinai,0.10245,22.449617,6.645815,35.982906,0.0016250787,1.337056E10,60,317,332,352,39,80,137,119,6.0E-6
32.155197,30.178902,2024,5,NorthSinai,0.0908,24.632814,8.947457,36.897305,5.722149E-4,1.2804066E10,60,362,266,373,45,80,141,152,3.1245432E-5
32.54147,30.906538,2024,5,NorthSinai,0.1454,23.735283,12.263251,48.569355,0.0018424885,1.2519661E10,60,365,326,310,67,80,143,129,0.052060165
32.182144,30.735857,2024,5,NorthSinai,0.38365,24.51597,11.517589,44.119644,0.0025480045,1.25149E10,40,319,318,363,181,79,136,173,5.388587
33.76318,29.981272,2024,5,NorthSinai,0.10145,23.009571,7.8106437,37.66672,0.0010171691,1.3232222E10,60,333,345,322,44,81,135,137,1.1318935
32.28096,30.14297,2024,5,NorthSinai,0.08445,24.600119,9.08012,37.302013,0.0011564372,1.2796133E10,60,363,280,357,48,80,140,148,2.2490862E-5
32.604355,30.178902,2024,5,NorthSinai,0.2327,24.606674,10.111204,39.96131,5.277498E-4,1.2807791E10,60,395,315,290,64,80,136,138,0.0011878
32.236046,30.169918,2024,5,NorthSinai,0.0882,24.632814,8.947457,36.897305,5.722149E-4,1.2804066E10,60,350,263,387,44,80,138,152,7.905531E-6
32.415707,29.999239,2024,5,NorthSinai,0.0763,24.845287,9.39749,37.553337,0.0018236814,1.2781716E10,60,407,282,312,60,80,137,145,0.38371316
32.11028,30.592127,2024,5,NorthSinai,0.36865,25.056343,10.977728,41.215317,0.003670984,1.2525938E10,40,394,302,305,312,74,138,194,1.5906708
32.559437,30.044155,2024,5,NorthSinai,0.22415,25.624414,10.323208,38.144924,0.0017055301,1.285233E10,60,385,308,307,174,79,134,175,7.7647038
32.415707,30.69094,2024,5,NorthSinai,0.1133,24.008064,11.405987,45.150387,0.001341532,1.261903E10,60,339,330,332,63,80,139,147,0.059565604
32.011467,30.493313,2024,5,NorthSinai,0.17695,25.099173,10.386,39.52165,0.0044153417,1.2530103E10,60,392,308,301,110,80,139,169,8.3333333E-7
34.22132,30.816706,2024,5,NorthSinai,0.08315,22.208488,10.9599,48.87872,0.01811128,1.2782639E10,60,336,376,289,49,79,144,152,0.001124
33.116394,29.801609,2024,5,NorthSinai,0.07315,22.987988,6.1546826,33.667133,9.893207E-4,1.3202332E10,60,338,349,314,39,79,140,136,0.028391592
32.245026,30.807722,2024,5,NorthSinai,0.28455,24.344748,12.016735,46.068375,0.0019550202,1.2459788E10,60,370,326,304,191,80,138,143,5.1647043
34.47285,30.2867,2024,5,NorthSinai,0.09595,22.48195,7.4581337,37.96836,0.010818115,1.3205753E10,60,308,363,330,44,80,146,139,6.3435675E-4
34.25725,30.987385,2024,5,NorthSinai,0.0827,22.38595,11.8653,51.340763,0.04584159,1.2583667E10,60,340,320,340,49,79,142,165,0.6688623
32.39774,31.041285,2024,5,NorthSinai,0.1643,24.031363,12.983724,50.020348,0.001550871,1.239124E10,60,299,353,349,194,79,143,182,2.36E-5
34.09556,31.11315,2024,5,NorthSinai,0.1111,22.461798,13.241531,55.93481,0.04928348,1.2518707E10,40,365,332,303,80,79,147,193,1.1874943
34.203354,30.816706,2024,5,NorthSinai,0.09895,22.208488,10.9599,48.87872,0.01811128,1.2782639E10,60,328,365,308,48,79,144,153,0.012389
33.951828,29.97229,2024,5,NorthSinai,0.0957,22.948618,7.9263716,38.105198,0.0018436061,1.3241361E10,60,374,368,259,39,81,141,124,0.29892847
32.42469,30.43043,2024,5,NorthSinai,0.3058,24.881197,11.070488,41.905888,0.0031268736,1.2640332E10,40,371,297,332,127,80,134,171,0.11936101
32.209095,30.151953,2024,5,NorthSinai,0.08775,24.632814,8.947457,36.897305,5.722149E-4,1.2804066E10,60,372,257,372,48,80,139,153,0.9434893
33.314022,31.02332,2024,5,NorthSinai,0.10135,22.890696,13.613473,55.834026,0.015656669,1.2545347E10,60,344,346,311,72,80,147,137,0.06630966
33.116394,30.466362,2024,5,NorthSinai,0.0984,22.505867,9.461992,43.42839,0.0058379574,1.2902852E10,60,318,286,397,51,80,137,147,8.5E-6
