longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
32.209095,30.178902,2023,3,NorthSinai,0.0738,17.71778,4.843828,42.576447,0.09080479,9.468338E9,60,366,261,373,47,80,138,161,0.50418377
33.6464,30.331615,2023,3,NorthSinai,0.1011,15.332999,3.4625804,44.97752,0.17277107,9.42841E9,60,332,346,324,42,80,141,135,7.621487E-4
33.56555,31.0323,2023,3,NorthSinai,0.0988,16.971039,8.121317,55.93521,0.17944679,9.131405E9,60,333,353,315,71,79,146,152,0.6758097
32.62232,30.160936,2023,3,NorthSinai,0.2344,17.695915,6.412986,47.534824,0.15309103,9.356564E9,40,396,329,276,52,80,137,141,0.7054075
32.34384,29.846525,2023,3,NorthSinai,0.1047,18.198822,4.849596,41.323296,0.114318095,9.730474E9,60,413,306,281,58,80,137,146,1.8105264E-5
34.122505,30.017204,2023,3,NorthSinai,0.0943,15.662327,2.6825066,41.67217,0.25979394,9.642573E9,60,352,353,296,41,81,137,138,0.033754073
33.22419,31.041285,2023,3,NorthSinai,0.1108,17.440355,8.611992,56.135284,0.2377632,9.081614E9,60,373,323,305,67,81,147,144,1.0670912
32.415707,31.068233,2023,3,NorthSinai,0.0636,18.261002,8.7959,53.97443,0.12614389,8.833038E9,60,341,348,312,202,80,143,195,7.1E-5
32.101295,30.96942,2023,3,NorthSinai,0.45945,18.393402,7.8050675,50.04692,0.11755386,8.783983E9,80,305,291,404,182,79,131,222,0.244319
32.67622,30.035172,2023,3,NorthSinai,0.1067,17.771332,5.6254907,44.803463,0.118724115,9.577712E9,60,399,302,299,57,80,141,156,2.96E-4
33.053513,30.187885,2023,3,NorthSinai,0.1077,15.085798,2.9921215,44.203407,0.2069301,9.436715E9,60,277,356,368,39,80,140,133,0.03629729
33.951828,31.104166,2023,3,NorthSinai,0.13,16.861721,7.768775,54.98927,0.22699451,9.023396E9,60,381,358,261,61,79,145,191,0.81057936
32.59537,30.071104,2023,3,NorthSinai,0.09985,18.289104,6.9100666,47.385334,0.1477683,9.425388E9,60,417,292,292,75,80,135,146,1.3751205
32.34384,29.738728,2023,3,NorthSinai,0.08565,19.323568,5.8995814,41.43002,0.117168546,9.777195E9,60,450,295,256,68,80,136,161,0.1653245
34.149456,29.505165,2023,3,NorthSinai,0.11215,14.856314,0.11619474,36.507458,0.13984141,1.0039067E10,60,290,343,368,37,81,140,149,0.01638211
32.433674,29.927374,2023,3,NorthSinai,0.1051,17.386719,5.250102,44.72354,0.13279523,9.576349E9,60,420,264,317,74,80,137,144,2.9648137
32.50554,30.008223,2023,3,NorthSinai,0.1083,18.540432,7.2588387,47.772373,0.15797412,9.430801E9,60,431,285,285,134,80,138,143,1.5365865
34.356068,30.82569,2023,3,NorthSinai,0.0929,15.964591,4.9560413,47.962666,0.2455259,8.983845E9,60,324,363,313,49,79,143,145,0.4768033
33.7003,30.646027,2023,3,NorthSinai,0.09915,16.696695,6.324258,50.33033,0.2114693,9.282308E9,60,352,354,294,50,80,144,142,4.0917077
32.54147,30.358564,2023,3,NorthSinai,0.1049,17.693302,6.3656487,47.387848,0.12261358,9.218911E9,60,379,340,282,51,80,143,150,9.6689604E-5
34.19437,31.265863,2023,3,NorthSinai,0.3296,17.476307,8.406638,55.234104,0.37590352,8.5652454E9,40,463,315,223,132,80,148,230,3.2360559
32.721134,30.044155,2023,3,NorthSinai,0.10025,17.771332,5.6254907,44.803463,0.118724115,9.577712E9,60,388,313,300,65,80,138,181,0.014076
32.415707,30.68196,2023,3,NorthSinai,0.11915,17.689905,6.817044,48.892914,0.12494184,9.107313E9,60,350,339,313,61,80,141,146,0.013428295
32.370792,29.756693,2023,3,NorthSinai,0.0805,18.305958,6.2526298,45.241943,0.13847226,9.614789E9,60,426,306,269,58,81,137,145,3.0E-6
34.01471,31.176031,2023,3,NorthSinai,0.17595,17.161644,8.678747,57.39247,0.32645637,8.88246E9,60,362,356,283,94,79,146,188,0.2758835
34.19437,29.990255,2023,3,NorthSinai,0.12695,15.50262,2.4083157,41.288464,0.21760105,9.642337E9,60,285,382,335,37,80,138,114,1.0E-6
33.25114,31.050268,2023,3,NorthSinai,0.1084,17.704422,9.573798,58.906757,0.27077433,8.994328E9,60,358,339,303,81,81,145,149,0.9389382
34.167423,29.981272,2023,3,NorthSinai,0.133,15.50262,2.4083157,41.288464,0.21760105,9.642337E9,60,303,392,306,44,80,136,115,0.004593429
32.59537,30.394497,2023,3,NorthSinai,0.1024,17.211617,5.7152553,46.705467,0.12251522,9.304186E9,60,385,313,303,45,80,142,167,3.62E-4
32.262993,30.726873,2023,3,NorthSinai,0.25405,18.181276,6.954954,47.85448,0.1155222,9.058959E9,60,370,319,311,251,77,128,190,8.919394
34.311153,30.924503,2023,3,NorthSinai,0.1069,16.267725,5.7218156,49.61448,0.2513345,8.958113E9,60,349,351,301,45,79,144,151,1.5628839
