longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
32.209095,30.178902,2024,6,NorthSinai,0.08045,29.181688,14.276729,40.157505,3.0989907E-4,1.286865E10,60,366,261,373,47,80,138,161,0.5107449
33.6464,30.331615,2024,6,NorthSinai,0.0938,27.18587,13.174103,41.99069,2.5609843E-4,1.3178079E10,60,332,346,324,42,80,141,135,7.846121E-4
33.56555,31.0323,2024,6,NorthSinai,0.0958,26.65324,18.936972,62.60768,4.8975984E-4,1.276844E10,60,333,353,315,71,79,146,152,0.68366706
32.62232,30.160936,2024,6,NorthSinai,0.237,29.096363,14.99592,42.274635,5.6532735E-4,1.2941924E10,40,396,329,276,52,80,137,141,0.73445743
32.34384,29.846525,2024,6,NorthSinai,0.1099,29.98376,13.102965,35.523075,9.239685E-4,1.2984172E10,60,413,306,281,58,80,137,146,1.868421E-5
34.122505,30.017204,2024,6,NorthSinai,0.1013,27.471928,12.691615,40.008724,3.075298E-4,1.3244902E10,60,352,353,296,41,81,137,138,0.034719784
33.22419,31.041285,2024,6,NorthSinai,0.1056,27.108967,19.171509,61.84957,9.634063E-4,1.2755701E10,60,373,323,305,67,81,147,144,1.1638707
32.415707,31.068233,2024,6,NorthSinai,0.0723,28.080866,19.625013,60.10162,0.0023181713,1.2541596E10,60,341,348,312,202,80,143,195,7.3E-5
32.101295,30.96942,2024,6,NorthSinai,0.4287,28.5267,18.9724,56.227913,0.0017645523,1.251085E10,80,305,291,404,182,79,131,222,0.24623014
32.67622,30.035172,2024,6,NorthSinai,0.1095,29.554447,13.929843,38.427647,3.2789967E-4,1.3080212E10,60,399,302,299,57,80,141,156,3.03E-4
33.053513,30.187885,2024,6,NorthSinai,0.106,27.13734,11.574729,37.909054,2.396997E-4,1.3189124E10,60,277,356,368,39,80,140,133,0.036669023
33.951828,31.104166,2024,6,NorthSinai,0.09955,26.480528,19.313393,64.751625,0.0016277317,1.2748679E10,60,381,358,261,61,79,145,191,0.8221664
32.59537,30.071104,2024,6,NorthSinai,0.0941,29.70855,15.213567,41.38103,4.3418966E-4,1.2955E10,60,417,292,292,75,80,135,146,1.402356
32.34384,29.738728,2024,6,NorthSinai,0.0869,30.860472,13.453912,34.563915,2.7967207E-4,1.2980453E10,60,450,295,256,68,80,136,161,0.1689685
34.149456,29.505165,2024,6,NorthSinai,0.09455,27.756603,9.329419,31.471855,2.2991709E-4,1.327945E10,60,290,343,368,37,81,140,149,0.016631095
32.433674,29.927374,2024,6,NorthSinai,0.1148,29.484436,13.852206,38.389202,0.001379199,1.2910065E10,60,420,264,317,74,80,137,144,2.9759467
32.50554,30.008223,2024,6,NorthSinai,0.10255,30.0718,15.422201,41.07141,5.033385E-4,1.2870033E10,60,431,285,285,134,80,138,143,1.5843587
34.356068,30.82569,2024,6,NorthSinai,0.09405,26.797821,15.340839,49.43161,0.0032139882,1.3035549E10,60,324,363,313,49,79,143,145,0.47951558
33.7003,30.646027,2024,6,NorthSinai,0.10335,27.426811,15.963702,49.577557,3.8705728E-4,1.3086863E10,60,352,354,294,50,80,144,142,4.1637173
32.54147,30.358564,2024,6,NorthSinai,0.11205,28.771519,15.935835,45.755966,0.0013132315,1.284235E10,60,379,340,282,51,80,143,150,9.875545E-5
34.19437,31.265863,2024,6,NorthSinai,0.18865,27.055042,19.547163,63.514404,0.001996213,1.2398712E10,40,463,315,223,132,80,148,230,3.2831376
32.721134,30.044155,2024,6,NorthSinai,0.10385,29.554447,13.929843,38.427647,3.2789967E-4,1.3080212E10,60,388,313,300,65,80,138,181,0.014148
