longitude,latitude,year,month,area,ndvi,t2m_c,td2m_c,rh_pct,tp_m,ssrd_jm2,LC_Type1,sand,silt,clay,soc,ph,bdod,cec,POP
31.11315,30.610094,2024,3,Dakahlia,0.3922,18.243782,7.2014947,48.47908,0.07143698,9.128826E9,50,385,279,337,334,75,129,185,10.025696
31.301796,30.610094,2024,3,Dakahlia,0.6989,18.32986,7.1919575,48.186317,0.055280928,9.119639E9,40,335,295,371,422,73,130,186,0.53815347
31.158066,30.295683,2024,3,Dakahlia,0.65055,18.495867,6.5144567,45.520084,0.049974814,9.337804E9,40,431,302,268,390,72,134,192,1.382305
31.158066,30.565178,2024,3,Dakahlia,0.44025,18.28398,7.1979403,48.3451,0.066262364,9.12301E9,50,364,309,328,457,74,132,191,74.36979
31.328745,30.68196,2024,3,Dakahlia,0.57415,18.22008,7.308441,48.907917,0.051445518,9.055203E9,40,337,316,347,502,73,131,189,9.599431
31.0862,30.610094,2024,3,Dakahlia,0.59975,18.243782,7.2014947,48.47908,0.07143698,9.128826E9,10,412,271,318,390,74,129,187,65.51838
31.28383,30.610094,2024,3,Dakahlia,0.58885,18.32986,7.1919575,48.186317,0.055280928,9.119639E9,40,355,301,344,422,74,130,190,4.7917585
31.463493,30.655008,2024,3,Dakahlia,0.6316,18.238417,7.2826962,48.765663,0.069383405,9.079662E9,50,319,287,395,417,74,129,186,17.514679
31.11315,30.619076,2024,3,Dakahlia,0.61335,18.243782,7.2014947,48.47908,0.07143698,9.128826E9,40,374,288,338,351,74,128,191,61.683784
31.31078,30.619076,2024,3,Dakahlia,0.6341,18.32986,7.1919575,48.186317,0.055280928,9.119639E9,40,328,290,382,455,73,129,187,1.13862
31.02332,30.60111,2024,3,Dakahlia,0.6218,18.22924,7.1977067,48.51079,0.07182808,9.147725E9,40,368,272,360,422,74,130,187,0.3551429
31.220947,30.60111,2024,3,Dakahlia,0.64965,18.28398,7.1979403,48.3451,0.066262364,9.12301E9,40,363,303,335,493,73,128,194,1.3958863
31.122133,30.574162,2024,3,Dakahlia,0.51385,18.243782,7.2014947,48.47908,0.07143698,9.128826E9,40,357,296,349,282,75,135,188,39.332523
